RRO,RRS,TampilanO,TampilanS,MenuO,MenuS,PackagingO,PackagingS,WifiO,WifiS,PembayaranO,PembayaranS,PelayananO,PelayananS
3,1,S,S,S,S,S,S,S,S,S,S,S,S
3,3,S,RG,S,RG,S,RG,RG,RG,S,S,S,S
1,1,SS,RG,SS,S,SS,S,SS,TS,SS,SS,SS,S
2,2,S,S,S,RG,RG,RG,RG,RG,RG,S,S,S
1,4,S,STS,S,STS,S,STS,S,TS,RG,RG,SS,TS
2,2,S,RG,S,S,S,S,S,S,S,S,S,S
3,3,S,S,S,S,S,S,S,S,S,S,S,S
3,2,S,RG,S,TS,S,RG,S,TS,S,S,S,RG
3,3,S,RG,S,RG,S,S,RG,RG,S,S,S,S
3,3,S,RG,S,S,S,S,RG,RG,S,S,S,S
1,1,S,S,SS,RG,SS,RG,RG,RG,S,S,SS,S
2,2,S,S,S,RG,S,RG,S,TS,S,S,S,S
3,1,SS,RG,SS,RG,S,S,S,RG,SS,SS,SS,S
3,3,SS,TS,S,TS,S,STS,S,STS,S,S,S,S
2,2,S,S,S,S,S,S,S,S,S,S,S,S
2,2,STS,RG,STS,RG,STS,SS,S,SS,S,SS,S,SS
3,3,S,S,S,S,S,S,S,S,S,S,S,S
3,3,S,RG,S,TS,SS,S,RG,RG,SS,S,S,S
2,5,S,RG,S,RG,S,TS,TS,TS,TS,TS,S,RG
4,1,SS,TS,SS,TS,S,S,S,RG,RG,RG,S,RG
3,2,S,RG,S,RG,S,S,S,RG,S,S,S,S
2,2,S,S,S,TS,S,RG,S,TS,SS,SS,RG,S
3,3,S,S,S,S,S,S,RG,RG,S,S,S,S
3,3,S,RG,S,TS,RG,TS,RG,TS,S,S,S,S
2,1,S,RG,S,S,S,S,S,RG,S,S,S,S
3,3,S,RG,S,RG,S,RG,S,RG,S,S,S,S
3,3,TS,TS,TS,TS,S,S,S,RG,S,S,S,S
3,3,RG,RG,S,RG,SS,S,RG,RG,S,S,S,RG
4,4,S,RG,S,TS,S,TS,TS,TS,TS,TS,S,RG
4,3,S,RG,S,RG,S,RG,S,TS,S,RG,SS,S
2,2,S,RG,S,TS,S,TS,S,TS,S,S,S,S
1,2,SS,S,SS,S,S,S,SS,TS,SS,RG,S,RG
4,4,S,TS,S,TS,S,RG,S,STS,S,S,S,S
2,2,SS,S,SS,RG,S,RG,S,S,S,S,SS,RG
2,2,SS,S,SS,S,SS,S,SS,TS,SS,S,SS,RG
1,2,S,S,S,S,SS,RG,S,TS,S,RG,S,RG
2,2,SS,S,SS,SS,SS,S,SS,S,SS,RG,SS,S
2,3,S,S,S,RG,S,TS,S,TS,S,RG,S,S
3,1,S,S,RG,RG,RG,RG,RG,RG,S,S,S,S
3,3,S,S,S,RG,SS,S,S,RG,SS,SS,S,S
3,3,RG,RG,RG,S,RG,S,RG,RG,RG,S,RG,S
3,3,RG,RG,RG,RG,RG,RG,RG,RG,RG,RG,RG,RG
3,2,S,S,S,RG,S,S,S,RG,S,S,S,S
2,2,S,RG,S,TS,S,S,S,TS,S,S,S,S
4,3,RG,S,RG,S,RG,S,RG,RG,RG,S,RG,S
3,2,S,RG,RG,RG,RG,RG,RG,TS,RG,S,RG,S
4,5,RG,TS,RG,RG,RG,RG,TS,TS,RG,RG,TS,TS
3,2,S,S,S,S,S,S,TS,TS,S,S,S,S
1,3,S,RG,S,TS,S,TS,S,TS,S,RG,S,S
2,2,S,RG,S,RG,S,RG,RG,RG,S,S,SS,S
5,3,SS,RG,SS,RG,S,S,RG,RG,SS,S,S,S
2,2,SS,RG,SS,S,SS,S,S,S,S,S,S,S
1,2,S,RG,S,RG,S,RG,RG,RG,S,S,S,S
2,2,S,S,S,S,S,RG,S,TS,SS,S,SS,RG
2,3,S,S,S,S,S,S,S,TS,S,RG,S,S
1,2,S,S,S,RG,S,RG,RG,RG,S,S,S,S
2,2,S,RG,S,RG,S,RG,S,TS,S,S,S,S
2,3,S,S,S,S,S,S,S,S,S,S,S,S
1,2,S,RG,S,RG,S,RG,S,RG,S,S,SS,S
2,2,S,RG,S,RG,S,RG,S,TS,S,RG,S,S